City/province name (CN),City/province name (EN),Province,Year,"1.1. Total production capacity (10,000 cubic metres/day)","1.2. Of which how much is groundwater (10,000 cubic metres/day)",1.3. Number of plants (units),1.4. Of which how many are groundwater water treatment plants (units),"2.1. Total water supply volume / year (10,000 cubic metres/year)","2.2. Average supply per day (10,000 cubic metres/day)","2.3. Maximum supplied in a day (10,000 cubic metres/day)","3.1. Total Volume of water sold (10,000 cubic metres/year)","3.2. Of which Domestic/residential water (10,000 cubic metres/year)","3.3. Of which Administrative water (10,000 cubic metres/year)","3.4. Of which Industrial (10,000 cubic metres/year)","3.5. Of which Commercial (10,000 cubic metres/year)","3.6. Of which Special sectors (10,000 cubic metres/year)","3.7. Of which Other (10,000 cubic metres/year)",4. Water sold / water produced (%),5.1. Coverage rate of urban water supply (%),"5.2. Total city population (10,000s)","5.3. Total city population with water access (10,000s)",6.1. Average water use for all purposes (L/person*day),6.2. Average water use for residential/household/living purposes (L/person*day),7.1. Plants under construction (units),"7.2. Capacity of plants under construction (10,000 cubic metres/day)",8.1. Total pipe length (km),8.2. Of which are sourcing water (km),8.3. Of which are supplying water (km),8.4. of which how much length is for piping 75mm diameter and above (km),"9. Loss and leakage volume (10,000 cubic metres)",10. Loss and leakage rate (%),11. Pipe network density (km of pipe/square kilometer of network area）,12.1. Material: Ductile iron (km),12.2. Material: Steel piping (km),12.3. Material: Cast Iron (km),12.4. Material: PCCP (km),12.5. Material: Plastic (km),12.6. Material: Asbestos cement (km),12.7 Material: Other materials (km),13.1. Total number of water meters (units),13.2. Of which Domestic/residential,13.3. Of which Industrial,13.4. Of which Other,14.1. Overall rate of water that meets standard (%),14.2. turbidity rate meeting standard (%),14.3. Colour  rate of meeting standard (%),14.4. Odor  rate of meeting standard (%),14.5. Residual chlorine  rate of meeting standard (%),14.6. Bacterial contamination rate meeting standards (%),14.7. Total coliform contamination rate meeting standard (%),14.8. Oxygen demand (CODMn) meeting standard rate (%),15.1. Rate at which pressure in water distribution system meets the standard (%),15.2. Average pressure in water distribution system (Mpa),"16.1. Percentage of total water supply area is taken up by low pressure are, ratio (%)",16.2. Total water supply area (square km）,16.3. Total low pressure area (square km),"17.1. Total electricity use (10,000 kWh)","17.2. Electricity use for water production (1,000 kWh/1,000 cubic metre)","17.3. Electricity use for water distribution (1,000 kWh/1,000 cubic metre*Mpa)",18.1. Mixed flocculant consumption (kg),"18.2. Coagulant consumption per unit of water (kg / 1,000 cubic meters)",19.1. Total disinfectant consumption (kg),"19.2. Disinfectant consumption per unit water (kg / 1,000 cubic meters)","20.1. Original value (10,000 yuan)","20.2. Net worth (10,000 yuan)","21. Sales revenue (10,000 yuan)",22.1. Total profit,22.2. Net profit,Loss,23. Unit water sales cost (yuan / thousand m3),"24. Total wages (10,000 yuan)",25.1. Total employees (persons),25.2. Of which On-duty workers,25.3. Of which Other personel,25.4. Of which professional and technical personnel,27.1. Residential drinking water Current price or standard (yuan/cubic meter),27.2. Residential drinking water Original price or standard (yuan/cubic meter),28.1. Administrative water Current price or standard  (yuan/cubic meter),28.2. Administrative water Original price or standard (yuan/cubic meter),29.1. Industrial water Current price or standard (yuan/cubic meter),29.2. Industrial water Original price or standard (yuan/cubic meter),30.1. Business services water Current price or standard (yuan/cubic meter),30.2. Business services water Original price or standard (yuan/cubic meter),31.1. Special industry water Current price or standard (yuan/cubic meter),31.2. Special industry water Original price or standard (yuan/cubic meter),32.1. Unit average water Current price or standard (yuan/cubic meter),32.2. Unit average water Original price or standard (yuan/cubic meter)
北京市自来水集团,Beijing Water Supply Group,Beijing,2013,,,23,17,,,332.66,,,,,,401,2933,0.822486495,100,,,,,,,,,,,,,,,,,210.84,137.03,68.38,833.79,,,19590,1443,100,100,100,100,100,100,100,100,99.94,0.23,,,,33105,313,,9947850,6.71,12567036,5.51,,,,6195.96,5466.93,,,,,,84,,1.7,2.8,2.8,3.2,3,3.2,3.5,4.1,,,2.38,3.14
北京市石景山区自来水公司,Beijing Shijingshan District water company,Beijing,2013,10.6,10.6,2,2,2038,5.583561644,8,1355,741,266,,348,,,0.664867517,100,32,32,109,100,,,420,3,417,341.37,,,12.7,,34.18,151.31,,234.51,,,152811,89362,43,63406,,100,100,100,100,100,100,100,100,0.38,,,,1135,556.9,,,,114000,5.59,23518,12804,6294,46,37,,,1519,265,149,116,29,1.7,1.7,4.12,4.12,4.53,4.53,4.53,4.53,,,5.6,5.6
北京绿都供水有限责任公司,Beijing Green are water limited liability company,Beijing,2013,2.6,2.6,,,330,0.904109589,1.5,264,120.6,129.1,14.3,,,,0.8,100,6,6,,,,,75.4,,,70.11,66,0.2,,14.83,,55.27,,,,5.3,31231,31033,198,,100,100,100,100,100,100,100,100,100,0.3,,16,,726,,800,,,3165,,2553,772,1638,3,2,,1152,1163,130,95,35,16,1.7,2.8,4.12,3.9,4.53,4,6.21,4.6,,,,
北京市顺义区自来水公司,"Shunyi District, Beijing water company",Beijing,2013,20,20,9,9,4682,12.82739726,16.8,4459,1706,273,1359,821,8,292,0.952370782,100,45,45,271,171,,,1457,95,1362,1457,,,,1179,,268,,,,10,184886,169023,9921,5942,100,100,100,100,100,100,100,100,100,0.3,,74,,2454,373,466,,,137742,2.9,49143,29458,9919,2679,2009,,,1954,269,261,,23,1.7,1.7,2.8,2.8,3.21,3,3.21,3.5,,,2.68,2.83
北京市昌平自来水有限责任公司,Beijing Changping water limited liability company,Beijing,2013,12.1,12.1,5,5,2902,7.950684932,9.7,2559,1070,550,259,312,,368,0.881805651,100,32,32,219.09,165.41,,,461.9,15.9,446,425.74,,,6.97,328.9,,86,,47,,,126591,113196,4219,9176,100,100,100,100,100,100,100,100,99.99,0.28,,63.99,,1148,395.59,,,,67880,2.34,17738,9066,7285,843,627,,2652,2359,296,296,,29,1.7,1.7,2.8,2.8,3,3,3.5,3.5,,,2.68,2.59
主城区,Main city,Tianjin,2013,,,5,,,130.6122192,137.57,,,2064.77,,1936.07,2.1,1690.29,0.847984812,100,,,,,,,,179.39,,,6821.08,14.31,19.04,2094.52,206.06,,,3148.66,,530.92,,,,,99.81,99.23,99.96,100,99.83,99.82,99.9,100,97.11,0.33,,416.52,,7932.85,138.24,,3813300,8,2166384,4.54,,,,,,,4833.06,,2505,2505,,682,,,7.85,7.5,7.85,7.5,7.85,7.5,,,,
滨海新区,Binhai New Area,Tianjin,2013,120.2,24,16,6,23529.92,64.46553425,74.5,20622.32,5442.28,1053.9,,1419.89,15.97,,0.876429669,100,135.06,135.06,,,,,3284.92,43.1,3241.82,2911.22,3205.39,13.62,7.09,1417.94,208.22,472.23,,1081.61,,61.82,597226,569973,5172,22081,100,100,100,100,100,100,100,100,100,0.365,,456.94,,4957.74,210.7,,3750863.81,15.94,591095.5,2.51,284906.39,190941.7,,,,1845.03,5317.92,,1715,1715,,320,,,7.85,7.5,7.85,6.8,7.85,7.5,,,,
武清区,Wuqing District,Tianjin,2013,15,6,4,2,2132.13,5.841452055,7.35,1744.98,555.79,139.06,1005.12,13.39,31.62,,0.818421016,100,22.72,22.72,,,,,1075.79,69.3,1006.49,633.92,231.09,10.84,14.37,405.11,6.56,139,,395.12,,60.7,131913,127946,2021,1946,100,100,100,100,100,100,100,100,100,0.21,,70.05,,1142.71,535.95,,989592.56,46.41,243959.48,11.44,25963.02,21913.45,10594.21,265.16,265.15,,5008.38,1323.02,285,285,,127,3.9,2.5,3.9,2.7,3.9,2.7,6.9,2.7,6.9,5.1,,
宝坻区,Baodi District,Tianjin,2013,12.64,2.64,3,1,1108.66,3.037424658,3.38,915.36,345.18,76.47,87.73,302.21,3.75,100.02,0.825645374,100,14.51,14.51,,,,,630.04,,630.04,414.51,127.82,11.53,31.93,284.33,,,,345.24,,0.47,82598,79447,90,3061,100,100,100,100,100,100,100,100,100,0.32,,19.73,,372.04,335.58,,143545,12.95,27840,2.51,19710.35,13244.93,3619.45,,,1133.47,5066.82,1681.42,208,208,,18,3.9,2.9,4.5,,,,5.8,3.4,8,4.8,,
石家庄,Shijiazhuang,Hebei,2013,60,30,8,7,15329,41.99726027,45.9,11853,6413,1569,591,3098,43,139,0.773240264,100,223,223,146,79,1,10,1326,251,1075,977,3398,22.17,11.05,238,106,446,206,5,,325,193152,192572,317,263,99.94,100,100,100,100,100,100,100,98.36,0.22,5,120,6,3130,204,386,1599741,13.91,429756,2.8,146658,82458,34919,,,3047,3256,10413,4002,3974,,,2.5,2.5,4,4,4,4,4,4,,,3,3
